loc ID;locatie type;stadsdeel;location;lat;long;radius;start jaar;eind jaar;bias categorie: Geslacht;bias categorie: Leeftijd;bias categorie: Huidskleur;bias categorie: Kleding;bias categorie: Attributen;"bias 
categorie: Kleur kenteken";"bias categorie: 
In gebouw";"bias categorie: 
In voertuig";# geselecteerde beelden;Opmerking 
1;druk, toeristisch;A Centrum  ;Damplein;52.373087;4.892223;50;2016;2018;x;x;x;x;;;;;;incl Coronaperiode ivm mondmaskers / alle jaargetijden
2;druk, toeristisch;A Centrum  ;Museumplein;52.35743;4.88161;50;2019;2021;x;x;x;x;;;;;;Koningsdag, beelden 27 april gebruiken
3;druk, toeristisch;A Centrum  ;Nieuwmarkt;52.37272593;4.899884456;50;2016;2021;x;x;x;x;;;;;;
4;druk, toeristisch;A Centrum  ;Leidseplein;52.36363;4.88188;50;2017;2018;x;x;x;x;;;;;;
;druk, toeristisch;A Centrum  ;Rembrandtplein;52.36599;4.89647;50;2017;2019;x;x;x;x;;;;;;
;druk, toeristisch;A Centrum  ;Waterlooplein;52.36784854;4.903543561;50;2020;2022;x;x;x;x;;;;;;
;druk, toeristisch;T Zuidoost;Bijlmerplein;52.314011;4.95259;100;2021;2022;x;x;x;x;;;;;;
;basisschool;A Centrum  ;14ᵉ Montessori Openbare Basisschool (OMBS) De Jordaan;52.3711287;4.88073497;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;E West;De Visserschool;52.36795567;4.854824284;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;F Nieuw-West;Burgemeester de Vlugtschool;52.38027874;4.823132154;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;K Zuid;Openbare Basisschool (OBS) De Kleine Nicolaas;52.35193946;4.863043033;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;M Oost;Islamitische Basisschool Al Jawhara;52.36113742;4.94468066;50;2016;2022;;x;;;;;x;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;N Noord;IKC NoordRijk;52.40898054;4.903520255;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;basisschool;T Zuidoost;Basisschool Crescendo;52.31654301;4.979720335;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
;middelbare school;A Centrum  ;Barlaeus Gymnasium;52.36329202;4.887007549;50;2016;2022;;x;;;;;;;;tijdstip beelden tussen 8-9 en 13-16u
